"code_point","char","utf8","name","multiascii","ascii"
"U+00100+","ƙ","c699","LATIN SMALL LETTER K WITH HOOK (U+0199)","k","k"
"U+00100+","ƚ","c69a","LATIN SMALL LETTER L WITH BAR (U+019A)","l","l"
"U+00100+","ƛ","c69b","LATIN SMALL LETTER LAMBDA WITH STROKE (U+019B)","l","LAMBDA"
"U+00100+","Ɯ","c69c","LATIN CAPITAL LETTER TURNED M (U+019C)","W","W"
"U+00100+","Ɲ","c69d","LATIN CAPITAL LETTER N WITH LEFT HOOK (U+019D)","N","N"
"U+00100+","ƞ","c69e","LATIN SMALL LETTER N WITH LONG RIGHT LEG (U+019E)","n","n"
"U+00100+","Ɵ","c69f","LATIN CAPITAL LETTER O WITH MIDDLE TILDE (U+019F)","O","O"
"U+00100+","Ơ","c6a0","LATIN CAPITAL LETTER O WITH HORN (U+01A0)","O","O"
"U+00100+","ơ","c6a1","LATIN SMALL LETTER O WITH HORN (U+01A1)","o","o"
"U+00100+","Ƣ","c6a2","LATIN CAPITAL LETTER OI (U+01A2)","O","OI"
"U+00100+","ƣ","c6a3","LATIN SMALL LETTER OI (U+01A3)","o","oi"
"U+00100+","Ƥ","c6a4","LATIN CAPITAL LETTER P WITH HOOK (U+01A4)","P","P"
"U+00100+","ƥ","c6a5","LATIN SMALL LETTER P WITH HOOK (U+01A5)","p","p"
"U+00100+","Ʀ","c6a6","LATIN LETTER YR (U+01A6)","R","YR"
"U+00100+","Ƨ","c6a7","LATIN CAPITAL LETTER TONE TWO (U+01A7)","S","S"
"U+00100+","ƨ","c6a8","LATIN SMALL LETTER TONE TWO (U+01A8)","s","s"
"U+00100+","Ʃ","c6a9","LATIN CAPITAL LETTER ESH (U+01A9)","S","S"
"U+00100+","ƪ","c6aa","LATIN LETTER REVERSED ESH LOOP (U+01AA)","l","l"
"U+00100+","ƫ","c6ab","LATIN SMALL LETTER T WITH PALATAL HOOK (U+01AB)","t","t"
"U+00100+","Ƭ","c6ac","LATIN CAPITAL LETTER T WITH HOOK (U+01AC)","T","T"
"U+00100+","ƭ","c6ad","LATIN SMALL LETTER T WITH HOOK (U+01AD)","t","t"
"U+00100+","Ʈ","c6ae","LATIN CAPITAL LETTER T WITH RETROFLEX HOOK (U+01AE)","T","T"
"U+00100+","Ư","c6af","LATIN CAPITAL LETTER U WITH HORN (U+01AF)","U","U"
"U+00100+","ư","c6b0","LATIN SMALL LETTER U WITH HORN (U+01B0)","u","u"
"U+00100+","Ʊ","c6b1","LATIN CAPITAL LETTER UPSILON (U+01B1)","U","U"
"U+00100+","Ʋ","c6b2","LATIN CAPITAL LETTER V WITH HOOK (U+01B2)","V","V"
"U+00100+","Ƴ","c6b3","LATIN CAPITAL LETTER Y WITH HOOK (U+01B3)","Y","Y"
"U+00100+","ƴ","c6b4","LATIN SMALL LETTER Y WITH HOOK (U+01B4)","y","y"
"U+00100+","Ƶ","c6b5","LATIN CAPITAL LETTER Z WITH STROKE (U+01B5)","Z","Z"
"U+00100+","ƶ","c6b6","LATIN SMALL LETTER Z WITH STROKE (U+01B6)","z","z"
"U+00100+","Ʒ","c6b7","LATIN CAPITAL LETTER EZH (U+01B7)","Z","EZH"
